Station Code,Location,Grid Reference,Easting,Northing,Date,Time,Q,NO2-N (mg/l),Q,NO3-N (mg/l),Q,P(SOL) (mg/l),Q,P(TOT) (mg/l),Q,TON (mg/l)
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,27/11/2001,1030,,0.068,,1.23,,0.36,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,14/12/2001,1030,,0.159,,2.21,,0.38,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,30/01/2002,1030,,0.122,,3.57,,0.15,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,28/02/2002,1100,,0.003,,2.74,,0.18,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,27/03/2002,1020,,0.152,,1.92,,2.04,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,29/04/2002,1035,,0.065,,1.75,,0.11,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,28/05/2002,1020,,0.132,,2.05,,0.12,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,21/06/2002,1120,,0.096,,1.31,,0.54,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,29/07/2002,1035,,0.14,,1.38,,0.14,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,28/08/2002,1025,,0.095,,1.06,,0.37,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,20/09/2002,1020,,0.053,,0.46,,0.25,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,22/10/2002,1035,,0.019,,1.02,,0.08,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,21/11/2002,1040,,0.024,,0.75,,0.06,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,18/12/2002,1035,,0.058,,0.89,,0.27,,,,
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,30/01/2003,930,,0.048,,1,,1.9,,,,1.05
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,26/02/2003,1040,<  ,0.001,,0.37,,1.93,,,,0.37
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,24/03/2003,950,,0.066,,0.61,,1.79,,,,0.68
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,28/04/2003,1030,,0.061,,0.72,,0.2,,,,0.78
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,29/05/2003,1040,,0.073,,0.96,,0.17,,,,1.04
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,30/06/2003,1015,,0.099,,0.73,,0.91,,,,0.83
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,29/07/2003,1030,,0.036,,0.75,,0.11,,,,0.78
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,28/08/2003,1110,,0.041,,0.63,,0.06,,,,0.67
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,19/09/2003,1030,,0.105,,0.74,,0.27,,,,0.85
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,22/10/2003,1040,,0.271,,0.8,,0.39,,,,1.08
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,21/11/2003,1015,,0.064,,1.65,,0.18,,,,1.71
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,09/12/2003,1025,,0.079,,0.82,,0.58,,,,0.9
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,22/01/2004,1005,,0.081,,2,,0.24,,,,2.08
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,17/02/2004,1030,,0.094,,1.38,,0.26,,,,1.48
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,15/03/2004,1035,,0.153,,0.98,,0.34,,,,1.13
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,23/04/2004,1035,,0.071,,1.23,,,,,,1.3
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,13/05/2004,1030,,0.067,,0.98,,0.11,,,,1.05
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,14/06/2004,940,,0.076,,0.7,,0.59,,,,0.77
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,09/07/2004,1020,,0.124,,0.81,,0.34,,,,0.93
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,17/08/2004,945,,0.113,,0.97,,0.38,,,,1.08
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,15/09/2004,1000,,0.067,,1.58,,0.24,,,,1.65
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,14/10/2004,1110,,0.06,,0.71,,0.17,,,,0.77
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,11/11/2004,1030,,0.121,,0.63,,0.62,,,,0.76
10005,KILFENNAN BURN AT MALONE PARK,C454167,245401,416700,07/12/2004,1045,,0.089,,1.08,,0.35,,,,1.17
